# Economia do produto = custo de cada posicao liquida executada sozinha - custo da pool.
# Nao se roda P0 por cliente: a entrada ja e liquida por decisao de negocio.
# Valores em bps; BRL sintetico nao deve ser apresentado como projecao comercial.
nome_mix,n_clientes,janela_dias,horizonte_dias,seed_base,finalidade,direcao,aliquota_base,delta_volume_remetido_brl,iof_evitado_brl_base,iof_evitado_bps_base,delta_bps_por_1bp_aliquota
equilibrado,8,7,365,9,ANEXO_V_BENS_SERVICOS,OUT,0.00380000,37190431.04,141323.637952,3.957003,0.10413166
equilibrado,8,7,365,9,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,50186601.13,190709.084294,5.339775,0.14052040
equilibrado,8,7,365,9,ANEXO_V_DISPONIBILIDADE,OUT,0.03500000,43801921.51,1533067.252850,42.925247,0.12264356
equilibrado,8,7,365,9,ANEXO_V_RECEITA_EXPORTACAO,IN,0E-8,60114781.07,0.000000,0.000000,0.16831889
equilibrado,8,7,365,9,ANEXO_V_REMESSA_TERCEIRO,OUT,0.03500000,11139008.00,389865.280000,10.916066,0.03118876
equilibrado,8,1,365,10,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,27492367.95,104470.998210,3.229885,0.08499698
equilibrado,8,1,365,10,ANEXO_V_ATIVOS_VIRTUAIS,OUT,0.03500000,52182877.58,1826400.715300,56.466049,0.16133157
equilibrado,8,1,365,10,ANEXO_V_BENS_SERVICOS,OUT,0.00380000,41332227.51,157062.464538,4.855833,0.12778508
equilibrado,8,1,365,10,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,43584822.72,165622.326336,5.120475,0.13474933
equilibrado,8,1,365,10,ANEXO_V_DISPONIBILIDADE,OUT,0.03500000,29586493.69,1035527.279150,32.014954,0.09147130
equilibrado,8,1,365,10,ANEXO_V_RECEITA_EXPORTACAO,IN,0E-8,63141739.32,0.000000,0.000000,0.19521261
equilibrado,8,1,365,10,ANEXO_V_REMESSA_TERCEIRO,OUT,0.03500000,11117331.21,389106.592350,12.029842,0.03437098
equilibrado,8,7,365,10,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,27589251.23,104839.154674,3.241267,0.08529651
equilibrado,8,7,365,10,ANEXO_V_ATIVOS_VIRTUAIS,OUT,0.03500000,53066633.93,1857332.187550,57.422344,0.16406384
equilibrado,8,7,365,10,ANEXO_V_BENS_SERVICOS,OUT,0.00380000,40904849.87,155438.429506,4.805623,0.12646377
equilibrado,8,7,365,10,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,43577362.20,165593.976360,5.119598,0.13472627
equilibrado,8,7,365,10,ANEXO_V_DISPONIBILIDADE,OUT,0.03500000,29197346.44,1021907.125400,31.593865,0.09026819
equilibrado,8,7,365,10,ANEXO_V_RECEITA_EXPORTACAO,IN,0E-8,63110802.03,0.000000,0.000000,0.19511696
equilibrado,8,7,365,10,ANEXO_V_REMESSA_TERCEIRO,OUT,0.03500000,11108585.22,388800.482700,12.020378,0.03434394
equilibrado,8,1,365,11,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,29271766.02,111232.710876,3.548901,0.09339213
equilibrado,8,1,365,11,ANEXO_V_ATIVOS_VIRTUAIS,OUT,0.03500000,43543150.70,1524010.274500,48.623840,0.13892526
equilibrado,8,1,365,11,ANEXO_V_BENS_SERVICOS,OUT,0.00380000,36945648.82,140393.465516,4.479280,0.11787580
equilibrado,8,1,365,11,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,37100565.04,140982.147152,4.498062,0.11837006
equilibrado,8,1,365,11,ANEXO_V_DISPONIBILIDADE,OUT,0.03500000,12873828.29,450583.990150,14.375969,0.04107420
equilibrado,8,1,365,11,ANEXO_V_RECEITA_EXPORTACAO,IN,0E-8,42519296.88,0.000000,0.000000,0.13565863
equilibrado,8,1,365,11,ANEXO_V_REMESSA_TERCEIRO,OUT,0.03500000,15529000.13,543515.004550,17.340950,0.04954557
equilibrado,8,7,365,11,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,30183574.57,114697.583366,3.659448,0.09630127
equilibrado,8,7,365,11,ANEXO_V_ATIVOS_VIRTUAIS,OUT,0.03500000,45813581.34,1603475.346900,51.159188,0.14616911
equilibrado,8,7,365,11,ANEXO_V_BENS_SERVICOS,OUT,0.00380000,36126356.30,137280.153940,4.379950,0.11526183
equilibrado,8,7,365,11,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,37157708.45,141199.292110,4.504990,0.11855238
equilibrado,8,7,365,11,ANEXO_V_DISPONIBILIDADE,OUT,0.03500000,12557735.38,439520.738300,14.022993,0.04006570
equilibrado,8,7,365,11,ANEXO_V_RECEITA_EXPORTACAO,IN,0E-8,42519296.88,0.000000,0.000000,0.13565863
equilibrado,8,7,365,11,ANEXO_V_REMESSA_TERCEIRO,OUT,0.03500000,15362906.88,537701.740800,17.155477,0.04901565
equilibrado,8,1,365,12,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,18419471.11,69993.990218,2.044217,0.05379519
equilibrado,8,1,365,12,ANEXO_V_ATIVOS_VIRTUAIS,OUT,0.03500000,56945253.45,1993083.870750,58.209235,0.16631210
equilibrado,8,1,365,12,ANEXO_V_BENS_SERVICOS,OUT,0.00380000,57595475.79,218862.808002,6.392022,0.16821111
equilibrado,8,1,365,12,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,72890814.66,276985.095708,8.089519,0.21288209
equilibrado,8,1,365,12,ANEXO_V_DISPONIBILIDADE,OUT,0.03500000,16546937.49,579142.812150,16.914221,0.04832634
equilibrado,8,1,365,12,ANEXO_V_RECEITA_EXPORTACAO,IN,0E-8,55349570.42,0.000000,0.000000,0.16165181
equilibrado,8,1,365,12,ANEXO_V_REMESSA_TERCEIRO,OUT,0.03500000,15572189.46,545026.631100,15.917837,0.04547953
equilibrado,8,7,365,12,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,19342171.65,73500.252270,2.146620,0.05649000
equilibrado,8,7,365,12,ANEXO_V_ATIVOS_VIRTUAIS,OUT,0.03500000,57384346.18,2008452.116300,58.658074,0.16759450
equilibrado,8,7,365,12,ANEXO_V_BENS_SERVICOS,OUT,0.00380000,57836380.88,219778.247344,6.418758,0.16891469
equilibrado,8,7,365,12,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,72890814.66,276985.095708,8.089519,0.21288209
equilibrado,8,7,365,12,ANEXO_V_DISPONIBILIDADE,OUT,0.03500000,16546937.49,579142.812150,16.914221,0.04832634
equilibrado,8,7,365,12,ANEXO_V_RECEITA_EXPORTACAO,IN,0E-8,55086305.46,0.000000,0.000000,0.16088293
equilibrado,8,7,365,12,ANEXO_V_REMESSA_TERCEIRO,OUT,0.03500000,15551627.22,544306.952700,15.896818,0.04541948
equilibrado,8,1,365,13,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,26945843.53,102394.205414,2.889793,0.07604719
equilibrado,8,1,365,13,ANEXO_V_ATIVOS_VIRTUAIS,OUT,0.03500000,73073217.00,2557562.595000,72.180134,0.20622896
equilibrado,8,1,365,13,ANEXO_V_BENS_SERVICOS,OUT,0.00380000,39915013.50,151677.051300,4.280665,0.11264909
equilibrado,8,1,365,13,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,51949681.31,197408.788978,5.571317,0.14661361
equilibrado,8,1,365,13,ANEXO_V_DISPONIBILIDADE,OUT,0.03500000,22463861.10,786235.138500,22.189313,0.06339804
equilibrado,8,1,365,13,ANEXO_V_RECEITA_EXPORTACAO,IN,0E-8,73447108.91,0.000000,0.000000,0.20728416
equilibrado,8,1,365,13,ANEXO_V_REMESSA_TERCEIRO,OUT,0.03500000,16890542.15,591168.975250,16.684110,0.04766889
equilibrado,8,7,365,13,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,27675052.07,105165.197866,2.967997,0.07810518
equilibrado,8,7,365,13,ANEXO_V_ATIVOS_VIRTUAIS,OUT,0.03500000,75719822.00,2650193.770000,74.794393,0.21369827
equilibrado,8,7,365,13,ANEXO_V_BENS_SERVICOS,OUT,0.00380000,39846614.97,151417.136886,4.273330,0.11245606
equilibrado,8,7,365,13,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,52631656.53,200000.294814,5.644455,0.14853830
equilibrado,8,7,365,13,ANEXO_V_DISPONIBILIDADE,OUT,0.03500000,22463861.10,786235.138500,22.189313,0.06339804
equilibrado,8,7,365,13,ANEXO_V_RECEITA_EXPORTACAO,IN,0E-8,74625997.16,0.000000,0.000000,0.21061125
equilibrado,8,7,365,13,ANEXO_V_REMESSA_TERCEIRO,OUT,0.03500000,16902407.69,591584.269150,16.695831,0.04770237
equilibrado,8,1,365,14,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,19310534.05,73380.029390,2.216712,0.05833451
equilibrado,8,1,365,14,ANEXO_V_ATIVOS_VIRTUAIS,OUT,0.03500000,54380514.55,1903318.009250,57.496665,0.16427618
equilibrado,8,1,365,14,ANEXO_V_BENS_SERVICOS,OUT,0.00380000,33543754.76,127466.268088,3.850584,0.10133115
equilibrado,8,1,365,14,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,37404607.22,142137.507436,4.293782,0.11299426
equilibrado,8,1,365,14,ANEXO_V_DISPONIBILIDADE,OUT,0.03500000,27921914.51,977267.007850,29.521915,0.08434833
equilibrado,8,1,365,14,ANEXO_V_RECEITA_EXPORTACAO,IN,0E-8,70226236.17,0.000000,0.000000,0.21214397
equilibrado,8,1,365,14,ANEXO_V_REMESSA_TERCEIRO,OUT,0.03500000,11095193.62,388331.776700,11.730978,0.03351708
equilibrado,8,7,365,14,ANEXO_V_ATIVOS_VIRTUAIS,IN,0.00380000,21649121.10,82266.660180,2.485165,0.06539907
equilibrado,8,7,365,14,ANEXO_V_ATIVOS_VIRTUAIS,OUT,0.03500000,55848442.67,1954695.493450,59.048709,0.16871060
equilibrado,8,7,365,14,ANEXO_V_BENS_SERVICOS,OUT,0.00380000,33005779.75,125421.963050,3.788828,0.09970600
equilibrado,8,7,365,14,ANEXO_V_DISPONIBILIDADE,IN,0.00380000,36186219.72,137507.634936,4.153920,0.10931368
