# Testes analiticos, nao cotacao nem previsao comercial.
# Base hipotetica: spread=25 bps, tarifa fixa=R$40 e carry=4 bps.
# IOF incerto: BENS_SERVICOS OUT=38 bps e ATIVOS_VIRTUAIS OUT=350 bps na base.
# Cada Ordem e uma posicao liquida; nao ha deducao adicional de autonetting.
# Cada semente representa uma carteira-ano sintetica de 365 dias.
nome_mix,n_clientes,janela_dias,horizonte_dias,seed_base,economia_base_bps,economia_piso_bps,economia_combinada_severa_bps,carry_break_even_base_bps,carry_break_even_piso_bps,spread_minimo_no_piso_bps
equilibrado,8,1,365,119,119.158128,43.454949,27.146895,157.440790,59.957254,0.000000
equilibrado,8,7,365,119,119.378058,42.286884,25.961211,157.558093,58.394362,0.000000
equilibrado,8,1,365,120,135.544272,43.168357,25.545367,165.517978,55.440504,0.000000
equilibrado,8,7,365,120,137.475977,42.130873,24.317959,166.073174,53.668928,0.000000
equilibrado,8,1,365,121,122.613078,34.409027,17.650649,157.647008,47.118108,0.000000
equilibrado,8,7,365,121,124.937155,35.758114,18.799375,158.709631,48.279259,0.000000
equilibrado,8,1,365,122,136.721169,47.217384,29.610291,167.067495,60.316228,0.000000
equilibrado,8,7,365,122,138.023381,46.684025,28.964120,167.572604,59.325608,0.000000
equilibrado,8,1,365,123,123.686125,32.892422,17.201159,169.532158,48.020731,0.000000
equilibrado,8,7,365,123,125.541994,31.449449,15.642602,170.787334,45.781794,0.000000
equilibrado,8,1,365,124,119.092680,44.946561,28.511940,156.175476,61.432281,0.000000
equilibrado,8,7,365,124,121.549599,44.481710,27.895427,157.894732,60.318581,0.000000
equilibrado,8,1,365,125,136.854735,50.318492,33.812261,178.113002,68.017542,0.000000
equilibrado,8,7,365,125,139.042653,49.943742,33.223626,178.633699,66.727949,0.000000
equilibrado,8,1,365,126,134.976000,31.063587,13.376001,164.253412,40.880970,0.000000
equilibrado,8,7,365,126,136.664806,31.059836,13.362926,166.172997,40.857087,0.000000
equilibrado,8,1,365,127,130.138398,41.069063,24.585407,169.794916,56.321543,0.000000
equilibrado,8,7,365,127,132.148884,40.486737,23.945856,171.773806,55.401221,0.000000
equilibrado,8,1,365,128,132.772034,41.828539,25.104937,170.723216,56.524529,0.000000
equilibrado,8,7,365,128,133.060239,41.070682,24.333577,170.950319,55.531273,0.000000
equilibrado,8,1,365,129,132.276490,37.912944,20.606970,164.511410,50.005606,0.000000
equilibrado,8,7,365,129,132.993028,37.996145,20.643719,164.948883,49.983141,0.000000
equilibrado,8,1,365,130,113.913620,33.868313,18.192443,156.603078,49.371298,0.000000
equilibrado,8,7,365,130,116.994407,33.757907,17.889383,158.827415,48.674353,0.000000
equilibrado,8,1,365,131,128.796011,41.436217,23.989018,159.022948,53.873941,0.000000
equilibrado,8,7,365,131,130.657756,41.459038,23.876515,160.053422,53.517342,0.000000
equilibrado,8,1,365,132,121.021127,41.873771,25.625000,160.408363,58.117889,0.000000
equilibrado,8,7,365,132,123.392157,41.891517,25.582686,162.885410,57.941441,0.000000
equilibrado,8,1,365,133,127.270020,43.933388,27.273269,164.423249,59.377824,0.000000
equilibrado,8,7,365,133,127.774580,42.584614,25.879429,164.624751,57.532894,0.000000
