# Contrato de leitura: cada Ordem e uma posicao liquida que o cliente decidiu enviar ao orquestrador.
# O baseline executa cada posicao liquida sozinha; nao ha segunda deducao de autonetting.
# Spread, custo fixo e duas regras de IOF ainda nao sao dados calibrados/confirmados.
nome_mix,n_clientes,janela_dias,horizonte_dias,n_sementes,economia_produto_bps_p10,economia_produto_bps_p50,economia_produto_bps_p90,iof_evitado_bps_p10,iof_evitado_bps_p50,iof_evitado_bps_p90,spread_evitado_bps_p10,spread_evitado_bps_p50,spread_evitado_bps_p90,fixo_evitado_bps_p10,fixo_evitado_bps_p50,fixo_evitado_bps_p90,carry_criado_bps_p10,carry_criado_bps_p50,carry_criado_bps_p90,espera_criada_bps_p10,espera_criada_bps_p50,espera_criada_bps_p90,participacao_iof_p10,participacao_iof_p50,participacao_iof_p90,participacao_spread_p10,participacao_spread_p50,participacao_spread_p90,participacao_fixo_p10,participacao_fixo_p50,participacao_fixo_p90,participacao_carry_p10,participacao_carry_p50,participacao_carry_p90,delta_bps_por_1bp_spread_p10,delta_bps_por_1bp_spread_p50,delta_bps_por_1bp_spread_p90,delta_bps_por_1real_fixo_p10,delta_bps_por_1real_fixo_p50,delta_bps_por_1real_fixo_p90,delta_bps_por_1bp_carry_p10,delta_bps_por_1bp_carry_p50,delta_bps_por_1bp_carry_p90
retail_pesado,16,7,365,300,110.122712,120.399798,129.399659,93.601500,102.738751,110.712598,12.062049,13.239530,14.267087,6.161200,6.505760,6.861359,-2.282734,-2.117814,-1.929928,0.000000,0.000000,0.000000,0.848527,0.853561,0.857604,0.109346,0.109995,0.110516,0.049563,0.054220,0.059622,-0.017683,-0.017596,-0.017495,0.482482,0.529581,0.570683,0.154030,0.162644,0.171534,-0.570683,-0.529453,-0.482482
retail_pesado,24,1,365,300,103.863967,111.823248,121.100248,87.157544,94.573806,102.817854,12.127298,13.095764,14.150123,6.120475,6.393755,6.676039,-2.264020,-2.094289,-1.940368,0.000000,0.000000,0.000000,0.839388,0.844580,0.848946,0.114918,0.117024,0.119430,0.052559,0.057120,0.062105,-0.019109,-0.018724,-0.018387,0.485092,0.523831,0.566005,0.153012,0.159844,0.166901,-0.566005,-0.523572,-0.485092
retail_pesado,24,7,365,300,103.916768,111.859540,121.204220,87.167887,94.672959,102.910184,12.127298,13.095764,14.150123,6.120475,6.394228,6.676448,-2.264020,-2.094890,-1.940368,0.000000,0.000000,0.000000,0.839754,0.844639,0.849069,0.114797,0.116998,0.119310,0.052483,0.057043,0.062032,-0.019090,-0.018719,-0.018368,0.485092,0.523831,0.566005,0.153012,0.159856,0.166911,-0.566005,-0.523723,-0.485092
retail_pesado,32,1,365,300,111.336993,118.894474,127.270722,94.496320,101.111343,108.491424,12.770471,13.696797,14.746415,6.066840,6.290340,6.531370,-2.359426,-2.191452,-2.043275,0.000000,0.000000,0.000000,0.846247,0.850092,0.853630,0.113807,0.115262,0.117242,0.049344,0.053012,0.056818,-0.018759,-0.018440,-0.018209,0.510819,0.547872,0.589857,0.151671,0.157258,0.163284,-0.589857,-0.547863,-0.510819
retail_pesado,32,7,365,300,111.396472,118.953304,127.290006,94.496320,101.127376,108.607999,12.770471,13.696797,14.746415,6.067366,6.291386,6.531370,-2.359426,-2.191452,-2.043275,0.000000,0.000000,0.000000,0.846247,0.850097,0.853744,0.113807,0.115222,0.117236,0.049349,0.052980,0.056822,-0.018758,-0.018435,-0.018209,0.510819,0.547872,0.589857,0.151684,0.157285,0.163284,-0.589857,-0.547863,-0.510819
corporativo_pesado,2,1,365,300,62.701994,90.116360,116.585336,54.772196,79.405783,104.135060,8.720586,12.267715,15.609698,0.057849,0.080086,0.106695,-2.497552,-1.962662,-1.395294,0.000000,0.000000,0.000000,0.866909,0.886935,0.895360,0.123688,0.133622,0.156881,0.000697,0.000893,0.001204,-0.025101,-0.021374,-0.019790,0.348823,0.490709,0.624388,0.001446,0.002002,0.002667,-0.624388,-0.490666,-0.348823
corporativo_pesado,2,7,365,300,62.701994,90.354929,116.585336,55.034179,79.941971,104.135060,8.720586,12.267715,15.650857,0.057371,0.080086,0.106526,-2.504137,-1.962662,-1.395294,0.000000,0.000000,0.000000,0.867052,0.886936,0.895441,0.123514,0.133523,0.156778,0.000694,0.000893,0.001172,-0.025084,-0.021361,-0.019762,0.348823,0.490709,0.626034,0.001434,0.002002,0.002663,-0.626034,-0.490666,-0.348823
corporativo_pesado,3,1,365,300,50.639971,68.260384,85.948728,37.882056,54.111361,71.153629,13.924885,16.708563,18.783379,0.139651,0.167787,0.196596,-3.005341,-2.671153,-2.227981,0.000000,0.000000,0.000000,0.750684,0.795531,0.828771,0.201820,0.241126,0.292965,0.001796,0.002451,0.003347,-0.046874,-0.038481,-0.032291,0.556995,0.668343,0.751335,0.003491,0.004195,0.004915,-0.751335,-0.667788,-0.556995
corporativo_pesado,3,7,365,300,49.784031,66.901966,85.246545,37.069604,53.135500,70.561702,13.924885,16.731814,18.838065,0.141487,0.169881,0.196642,-3.014090,-2.673370,-2.227981,0.000000,0.000000,0.000000,0.739860,0.792940,0.826384,0.204454,0.243885,0.305694,0.001841,0.002503,0.003456,-0.048911,-0.038978,-0.032713,0.556995,0.669273,0.753523,0.003537,0.004247,0.004916,-0.753523,-0.668342,-0.556995
corporativo_pesado,4,1,365,300,55.567891,73.308073,90.353204,41.874876,57.571637,74.048074,15.620598,18.168318,20.140935,0.164890,0.190699,0.220504,-3.222550,-2.906604,-2.499296,0.000000,0.000000,0.000000,0.744323,0.790117,0.820721,0.210992,0.246998,0.300471,0.002085,0.002602,0.003480,-0.048075,-0.039517,-0.033759,0.624824,0.726733,0.805637,0.004122,0.004767,0.005513,-0.805637,-0.726651,-0.624824
corporativo_pesado,4,7,365,300,55.654950,72.766719,89.715231,41.309176,57.277968,73.440819,15.708599,18.197397,20.220617,0.165309,0.192222,0.220283,-3.235299,-2.910855,-2.513376,0.000000,0.000000,0.000000,0.741065,0.788450,0.819385,0.212524,0.248722,0.304551,0.002115,0.002627,0.003516,-0.048728,-0.039783,-0.034004,0.628344,0.727896,0.808825,0.004133,0.004806,0.005507,-0.808825,-0.727714,-0.628344
corporativo_pesado,6,1,365,300,69.884270,84.028908,98.852263,53.606409,66.934635,81.121116,18.204574,19.931784,21.560024,0.184389,0.205361,0.227888,-3.449604,-3.188310,-2.912732,0.000000,0.000000,0.000000,0.766764,0.798139,0.824749,0.206100,0.237434,0.274098,0.002007,0.002459,0.003067,-0.043856,-0.037952,-0.032976,0.728183,0.797271,0.862401,0.004610,0.005134,0.005697,-0.862401,-0.797078,-0.728183
corporativo_pesado,6,7,365,300,69.138640,83.530412,98.554933,52.858632,66.525761,80.718507,18.204574,19.962166,21.620374,0.185374,0.207171,0.229017,-3.459260,-3.192511,-2.912732,0.000000,0.000000,0.000000,0.765490,0.796744,0.822586,0.208854,0.239151,0.275493,0.002028,0.002486,0.003096,-0.044079,-0.038249,-0.033417,0.728183,0.798487,0.864815,0.004634,0.005179,0.005725,-0.864815,-0.798128,-0.728183
corporativo_pesado,8,1,365,300,78.661137,93.458954,108.342611,61.468912,75.463617,89.597230,19.567537,21.126225,22.584570,0.223377,0.245306,0.265843,-3.613531,-3.379910,-3.130806,0.000000,0.000000,0.000000,0.780771,0.807986,0.828633,0.201331,0.225411,0.257306,0.002240,0.002624,0.003125,-0.041169,-0.036041,-0.032213,0.782701,0.845049,0.903383,0.005584,0.006133,0.006646,-0.903383,-0.844978,-0.782701
corporativo_pesado,8,7,365,300,78.396790,93.278632,108.388548,61.143414,75.262065,89.561498,19.615192,21.139574,22.606507,0.224397,0.245907,0.267060,-3.617041,-3.380915,-3.138431,0.000000,0.000000,0.000000,0.780771,0.807575,0.827217,0.202986,0.225916,0.257389,0.002242,0.002636,0.003146,-0.041182,-0.036141,-0.032478,0.784608,0.845583,0.904260,0.005610,0.006148,0.006677,-0.904260,-0.845229,-0.784608
corporativo_pesado,12,1,365,300,94.342835,108.312700,120.763064,76.808400,89.214614,101.357217,20.630961,22.194227,23.437003,0.218246,0.234511,0.253160,-3.749921,-3.549118,-3.300954,0.000000,0.000000,0.000000,0.808892,0.825336,0.838963,0.189508,0.205552,0.224516,0.001913,0.002193,0.002485,-0.035923,-0.032849,-0.030321,0.825238,0.887769,0.937480,0.005456,0.005863,0.006329,-0.937480,-0.887279,-0.825238
corporativo_pesado,12,7,365,300,94.119653,108.034930,120.576250,76.515397,88.684477,100.828780,20.630961,22.194227,23.489560,0.218556,0.235739,0.254022,-3.758330,-3.549118,-3.300954,0.000000,0.000000,0.000000,0.808125,0.824499,0.838548,0.189853,0.206464,0.225573,0.001920,0.002204,0.002478,-0.036092,-0.033018,-0.030376,0.825238,0.887769,0.939582,0.005464,0.005893,0.006351,-0.939582,-0.887279,-0.825238
corporativo_pesado,16,1,365,300,88.437716,99.530702,108.447813,70.017460,80.220702,88.781660,21.276088,22.595478,23.707747,0.235365,0.250274,0.264741,-3.793239,-3.614952,-3.404174,0.000000,0.000000,0.000000,0.791058,0.806642,0.818410,0.213354,0.227393,0.245390,0.002244,0.002517,0.002850,-0.039262,-0.036354,-0.034137,0.851044,0.903819,0.948310,0.005884,0.006257,0.006619,-0.948310,-0.903738,-0.851044
corporativo_pesado,16,7,365,300,88.112110,99.311287,107.988866,69.973479,79.804554,88.452210,21.276088,22.595478,23.718289,0.236181,0.250824,0.265806,-3.794926,-3.614952,-3.404174,0.000000,0.000000,0.000000,0.789791,0.806024,0.817803,0.214248,0.228034,0.246756,0.002267,0.002532,0.002864,-0.039481,-0.036474,-0.034280,0.851044,0.903819,0.948732,0.005905,0.006271,0.006645,-0.948732,-0.903738,-0.851044
corporativo_pesado,24,1,365,300,105.262155,114.534627,123.119854,85.799417,94.611084,102.735402,22.475429,23.431568,24.332170,0.238163,0.249469,0.262042,-3.893147,-3.747411,-3.596069,0.000000,0.000000,0.000000,0.814838,0.825605,0.834719,0.194370,0.205097,0.217648,0.001998,0.002191,0.002402,-0.034824,-0.032814,-0.031099,0.899017,0.937263,0.973287,0.005954,0.006237,0.006551,-0.973287,-0.936853,-0.899017
