# Contrato de leitura: cada Ordem e uma posicao liquida que o cliente decidiu enviar ao orquestrador.
# O baseline executa cada posicao liquida sozinha; nao ha segunda deducao de autonetting.
# Spread, custo fixo e duas regras de IOF ainda nao sao dados calibrados/confirmados.
nome_mix,n_clientes,janela_dias,horizonte_dias,seed_base,volume_bruto_brl,economia_produto_bps,iof_evitado_bps,spread_evitado_bps,fixo_evitado_bps,carry_criado_bps,espera_criada_bps,participacao_iof,participacao_spread,participacao_fixo,participacao_carry,delta_bps_por_1bp_spread,delta_bps_por_1real_fixo,delta_bps_por_1bp_carry,erro_recomposicao_brl
equilibrado,2,1,365,15,85984018.82,113.072499,100.652862,14.214857,0.479159,-2.274377,0.000000,0.890162,0.125715,0.004238,-0.020114,0.568594,0.011979,-0.568594,0.01
equilibrado,2,7,365,15,85984018.82,113.155876,100.736238,14.214857,0.479159,-2.274377,0.000000,0.890243,0.125622,0.004235,-0.020100,0.568594,0.011979,-0.568594,0.00
equilibrado,2,1,365,16,89474054.46,123.411392,109.491039,15.933197,0.536468,-2.549311,0.000000,0.887204,0.129106,0.004347,-0.020657,0.637328,0.013412,-0.637328,0.01
equilibrado,2,7,365,16,89474054.46,124.386443,110.373578,16.038010,0.540939,-2.566081,0.000000,0.887344,0.128937,0.004349,-0.020630,0.641520,0.013523,-0.641520,0.02
equilibrado,2,1,365,17,90691274.21,101.186815,88.626976,14.290604,0.555732,-2.286497,0.000000,0.875875,0.141230,0.005492,-0.022597,0.571624,0.013893,-0.571624,0.00
equilibrado,2,7,365,17,90691274.21,102.081301,89.437838,14.374406,0.568963,-2.299905,0.000000,0.876143,0.140813,0.005574,-0.022530,0.574976,0.014224,-0.574976,0.01
equilibrado,2,1,365,18,108843342.20,121.780861,106.800810,17.216518,0.518176,-2.754643,0.000000,0.876992,0.141373,0.004255,-0.022620,0.688661,0.012954,-0.688661,0.01
equilibrado,2,7,365,18,108843342.20,126.093188,111.101687,17.217025,0.529201,-2.754724,0.000000,0.881108,0.136542,0.004197,-0.021847,0.688681,0.013230,-0.688681,0.00
equilibrado,2,1,365,19,93108488.57,95.988719,84.643813,12.866543,0.537008,-2.058647,0.000000,0.881810,0.134042,0.005594,-0.021447,0.514662,0.013425,-0.514662,-0.01
equilibrado,2,7,365,19,93108488.57,96.594372,85.236579,12.866543,0.549896,-2.058647,0.000000,0.882418,0.133202,0.005693,-0.021312,0.514662,0.013747,-0.514662,-0.01
equilibrado,2,1,365,20,99172233.13,104.567174,92.226342,14.129674,0.471906,-2.260748,0.000000,0.881982,0.135125,0.004513,-0.021620,0.565187,0.011798,-0.565187,0.00
equilibrado,2,7,365,20,99172233.13,105.685114,93.257554,14.223318,0.479973,-2.275731,0.000000,0.882410,0.134582,0.004542,-0.021533,0.568933,0.011999,-0.568933,0.00
equilibrado,2,1,365,21,97246706.18,75.608502,67.087549,9.644525,0.419551,-1.543124,0.000000,0.887302,0.127559,0.005549,-0.020409,0.385781,0.010489,-0.385781,0.00
equilibrado,2,7,365,21,97246706.18,75.823292,67.283416,9.667053,0.419551,-1.546728,0.000000,0.887371,0.127495,0.005533,-0.020399,0.386682,0.010489,-0.386682,0.01
equilibrado,2,1,365,22,84815569.72,111.537387,98.245946,15.143796,0.570650,-2.423008,0.000000,0.880834,0.135773,0.005116,-0.021724,0.605752,0.014266,-0.605752,-0.02
equilibrado,2,7,365,22,84815569.72,111.851064,98.541674,15.165166,0.570650,-2.426427,0.000000,0.881008,0.135584,0.005102,-0.021693,0.606607,0.014266,-0.606607,-0.01
equilibrado,2,1,365,23,86275885.50,114.870187,101.515115,15.247607,0.547082,-2.439617,0.000000,0.883738,0.132738,0.004763,-0.021238,0.609904,0.013677,-0.609904,0.00
equilibrado,2,7,365,23,86275885.50,115.348595,101.949951,15.293961,0.551718,-2.447034,0.000000,0.883842,0.132589,0.004783,-0.021214,0.611758,0.013793,-0.611758,0.01
equilibrado,2,1,365,24,90569443.91,113.517440,100.789363,14.500512,0.547646,-2.320082,0.000000,0.887876,0.127738,0.004824,-0.020438,0.580020,0.013691,-0.580020,0.00
equilibrado,2,7,365,24,90569443.91,113.569370,100.841294,14.500512,0.547646,-2.320082,0.000000,0.887927,0.127680,0.004822,-0.020429,0.580020,0.013691,-0.580020,0.00
equilibrado,2,1,365,25,122168595.38,120.556611,106.102505,16.622596,0.491125,-2.659616,0.000000,0.880105,0.137882,0.004074,-0.022061,0.664904,0.012278,-0.664904,-0.01
equilibrado,2,7,365,25,122168595.38,120.696021,106.241916,16.622596,0.491125,-2.659616,0.000000,0.880244,0.137723,0.004069,-0.022036,0.664904,0.012278,-0.664904,-0.01
equilibrado,2,1,365,26,84795128.11,109.326925,96.865806,14.245009,0.495311,-2.279202,0.000000,0.886020,0.130297,0.004531,-0.020848,0.569800,0.012383,-0.569800,0.00
equilibrado,2,7,365,26,84795128.11,109.378442,96.912604,14.245009,0.500029,-2.279202,0.000000,0.886030,0.130236,0.004572,-0.020838,0.569800,0.012501,-0.569800,-0.01
equilibrado,2,1,365,27,74234062.01,103.465948,92.088267,12.922631,0.522671,-2.067621,0.000000,0.890035,0.124897,0.005052,-0.019984,0.516905,0.013067,-0.516905,0.00
equilibrado,2,7,365,27,74234062.01,104.022713,92.628868,12.922631,0.538836,-2.067621,0.000000,0.890468,0.124229,0.005180,-0.019877,0.516905,0.013471,-0.516905,0.01
equilibrado,2,1,365,28,112370204.69,108.799366,96.621274,13.912927,0.491233,-2.226068,0.000000,0.888068,0.127877,0.004515,-0.020460,0.556517,0.012281,-0.556517,0.00
equilibrado,2,7,365,28,112370204.69,109.049326,96.867675,13.912927,0.494793,-2.226068,0.000000,0.888292,0.127584,0.004537,-0.020413,0.556517,0.012370,-0.556517,0.01
equilibrado,2,1,365,29,91835667.43,110.050710,96.171024,15.813057,0.596718,-2.530089,0.000000,0.873879,0.143689,0.005422,-0.022990,0.632522,0.014918,-0.632522,0.00
equilibrado,2,7,365,29,91835667.43,110.766920,96.843192,15.865488,0.596718,-2.538478,0.000000,0.874297,0.143233,0.005387,-0.022917,0.634620,0.014918,-0.634619,0.01
equilibrado,2,1,365,30,94649513.73,91.913177,80.396854,13.131332,0.486004,-2.101013,0.000000,0.874704,0.142867,0.005288,-0.022859,0.525253,0.012150,-0.525253,-0.01
equilibrado,2,7,365,30,94649513.73,92.579119,80.999022,13.207254,0.486004,-2.113160,0.000000,0.874917,0.142659,0.005250,-0.022825,0.528290,0.012150,-0.528290,0.00
equilibrado,2,1,365,31,108985560.86,111.366386,98.441412,14.827603,0.469787,-2.372416,0.000000,0.883942,0.133143,0.004218,-0.021303,0.593104,0.011745,-0.593104,0.00
equilibrado,2,7,365,31,108985560.86,111.630498,98.698185,14.827603,0.477127,-2.372416,0.000000,0.884151,0.132828,0.004274,-0.021252,0.593104,0.011928,-0.593104,0.01
equilibrado,2,1,365,32,96951364.89,87.795676,77.841044,11.325205,0.441458,-1.812033,0.000000,0.886616,0.128995,0.005028,-0.020639,0.453008,0.011036,-0.453008,-0.01
equilibrado,2,7,365,32,96951364.89,88.277860,78.314977,11.325205,0.449710,-1.812033,0.000000,0.887142,0.128290,0.005094,-0.020526,0.453008,0.011243,-0.453008,-0.01
equilibrado,2,1,365,33,90437754.82,96.156268,84.862143,12.866193,0.486522,-2.058590,0.000000,0.882544,0.133805,0.005060,-0.021409,0.514648,0.012163,-0.514648,0.00
equilibrado,2,7,365,33,90437754.82,97.624926,86.272846,12.929922,0.490945,-2.068788,0.000000,0.883717,0.132445,0.005029,-0.021191,0.517197,0.012274,-0.517197,0.00
equilibrado,2,1,365,34,90239157.78,83.869445,74.162227,11.044343,0.429969,-1.767095,0.000000,0.884258,0.131685,0.005127,-0.021070,0.441774,0.010749,-0.441774,-0.02
equilibrado,2,7,365,34,90239157.78,84.830588,75.051878,11.118897,0.438834,-1.779024,0.000000,0.884727,0.131072,0.005173,-0.020971,0.444756,0.010971,-0.444756,-0.02
equilibrado,2,1,365,35,86780529.52,82.389572,72.608341,11.112056,0.447105,-1.777929,0.000000,0.881281,0.134872,0.005427,-0.021580,0.444482,0.011178,-0.444482,0.01
equilibrado,2,7,365,35,86780529.52,82.389572,72.608341,11.112056,0.447105,-1.777929,0.000000,0.881281,0.134872,0.005427,-0.021580,0.444482,0.011178,-0.444482,0.01
equilibrado,2,1,365,36,116423875.95,95.088197,84.698173,11.902799,0.391672,-1.904448,0.000000,0.890733,0.125176,0.004119,-0.020028,0.476112,0.009792,-0.476112,0.00
equilibrado,2,7,365,36,116423875.95,95.088197,84.698173,11.902799,0.391672,-1.904448,0.000000,0.890733,0.125176,0.004119,-0.020028,0.476112,0.009792,-0.476112,0.00
equilibrado,2,1,365,37,84151277.18,104.245836,91.428473,14.658939,0.503855,-2.345430,0.000000,0.877047,0.140619,0.004833,-0.022499,0.586358,0.012596,-0.586357,0.01
equilibrado,2,7,365,37,84151277.18,104.329845,91.507728,14.658939,0.508608,-2.345430,0.000000,0.877100,0.140506,0.004875,-0.022481,0.586358,0.012715,-0.586357,0.00
equilibrado,2,1,365,38,101773774.40,93.603842,81.278469,14.139667,0.448053,-2.262347,0.000000,0.868324,0.151059,0.004787,-0.024169,0.565587,0.011201,-0.565587,0.00
equilibrado,2,7,365,38,101773774.40,96.558480,83.948469,14.469166,0.455913,-2.315067,0.000000,0.869405,0.149849,0.004722,-0.023976,0.578767,0.011398,-0.578767,0.00
equilibrado,2,1,365,39,113101072.90,93.417261,82.375309,12.660996,0.406716,-2.025760,0.000000,0.881800,0.135532,0.004354,-0.021685,0.506440,0.010168,-0.506440,-0.01
equilibrado,2,7,365,39,113101072.90,95.561979,84.294816,12.908053,0.424399,-2.065288,0.000000,0.882096,0.135075,0.004441,-0.021612,0.516322,0.010610,-0.516322,0.00
equilibrado,2,1,365,40,102441299.02,98.333649,86.613384,13.408830,0.456847,-2.145413,0.000000,0.880811,0.136361,0.004646,-0.021818,0.536353,0.011421,-0.536353,0.00
equilibrado,2,7,365,40,102441299.02,99.557648,87.749623,13.499362,0.468561,-2.159898,0.000000,0.881395,0.135593,0.004706,-0.021695,0.539974,0.011714,-0.539975,0.00
equilibrado,2,1,365,41,99067773.99,99.162382,88.447695,12.197999,0.468366,-1.951680,0.000000,0.891948,0.123010,0.004723,-0.019682,0.487920,0.011709,-0.487920,-0.01
